Start,End,Moon Phase end
2030/2/23,2030/3/5,0.001876898407936
2030/3/25,2030/4/4,0.002562156617641
2030/4/23,2030/5/3,0.002120856791735
2030/5/22,2030/6/2,4.82661370187998E+AC0-05
2030/6/21,2030/7/2,0.00150673225522
2030/7/20,2030/7/31,0.00173411205411
2030/8/19,2030/8/30,0.002988179326057
2030/9/18,2030/9/28,0.001969915777445
2030/10/17,2030/10/28,0.00354783564806
2030/11/16,2030/11/26,1.8173495773226E+AC0-05
2030/12/16,2030/12/25,0.003154065608978
2031/1/15,2031/1/24,0.001672655194998
2031/2/13,2031/2/22,0.003930460512638
2031/3/14,2031/3/24,0.001476620435715
2031/4/13,2031/4/23,0.003302949368954
2031/5/12,2031/5/22,7.06663355231285E+AC0-05
2031/6/10,2031/6/21,0.00146250218153
2031/7/10,2031/7/20,0.002463949620724
2031/8/8,2031/8/19,0.001939899921417
2031/9/6,2031/9/18,0.003778495490551
2031/10/6,2031/10/17,0.000503543205559
2031/11/5,2031/11/16,0.002527058422565
2031/12/5,2031/12/15,0.000674139112234
2032/1/4,2032/1/14,0.005447304844856
2032/2/3,2032/2/12,0.001879495382309
2032/3/3,2032/3/12,0.004057241678238
2032/4/2,2032/4/11,0.000433097779751
2032/5/1,2032/5/10,0.001464459002018
2032/5/30,2032/6/9,0.00116245739162
2032/6/28,2032/7/8,0.00309477865696
2032/7/27,2032/8/7,0.001856011301279
2032/8/26,2032/9/6,0.00239040568471
2032/9/24,2032/10/5,0.001157887205482
2032/10/24,2032/11/4,0.000109311472625
2032/11/23,2032/12/4,0.003502146303654
2032/12/23,2033/1/2,0.001956590265036
2033/1/22,2033/2/1,0.003951609134674
2033/2/20,2033/3/2,0.000992204919457
2033/3/22,2033/4/1,0.004282466173172
2033/4/21,2033/4/30,0.000479776598513
2033/5/20,2033/5/29,0.001898687183857
2033/6/18,2033/6/28,0.003457427024841
2033/7/17,2033/7/27,0.001896012425423
2033/8/16,2033/8/26,0.001958358883858
2033/9/14,2033/9/24,0.001060078963637
2033/10/13,2033/10/24,0.000203888099641
2033/11/12,2033/11/23,0.001760375648737
2033/12/11,2033/12/22,0.004341403543949
2034/1/10,2034/1/21,0.001800748407841
2034/2/9,2034/2/20,0.001982142329216
2034/3/11,2034/3/21,0.00039690181613
2034/4/10,2034/4/20,0.003808129429817
2034/5/9,2034/5/19,0.001575884968042
2034/6/8,2034/6/17,0.002582961916924
2034/7/7,2034/7/17,0.004556478261948
2034/8/5,2034/8/15,0.000655045136809
2034/9/4,2034/9/13,0.002083813995123
2034/10/3,2034/10/13,0.000383294597268
2034/11/1,2034/11/12,0.001984280049801
2034/12/1,2034/12/12,0.003931731283665
2034/12/30,2035/1/10,0.002533233165741
2035/1/29,2035/2/9,0.000425498969853
2035/2/28,2035/3/11,0.001345383673906
2035/3/30,2035/4/9,0.001102429106832
2035/4/29,2035/5/9,0.004376065731049
2035/5/28,2035/6/7,0.002024432122707
2035/6/27,2035/7/6,0.001988790482283
2035/7/26,2035/8/5,0.004454197883606
2035/8/24,2035/9/3,0.000426597967744
2035/9/23,2035/10/2,0.001518628001213
2035/10/22,2035/11/1,0.001905283927917
2035/11/20,2035/12/1,0.004143181145191
2035/12/20,2035/12/30,0.00211713552475
2036/1/18,2036/1/29,0.00037097197026
2036/2/17,2036/2/28,0.000189166367054
2036/3/18,2036/3/29,0.002939486205578
2036/4/16,2036/4/27,0.002019737511873
2036/5/16,2036/5/27,0.004396490752697
2036/6/15,2036/6/25,0.001097534224391
2036/7/15,2036/7/24,0.000899694114923
2036/8/13,2036/8/22,0.004090422987938
2036/9/11,2036/9/21,0.00150353744626
2036/10/11,2036/10/20,0.002399049699306
2036/11/9,2036/11/19,0.002727332413197
2036/12/8,2036/12/18,0.002386543601751
2037/1/7,2037/1/17,0.000166224725544
2037/2/5,2037/2/16,0.000352390855551
2037/3/7,2037/3/18,0.002168775200844
2037/4/5,2037/4/16,0.003534519970417
2037/5/5,2037/5/16,0.001638054847717
2037/6/4,2037/6/15,0.003892691135407
2037/7/3,2037/7/14,0.000232541393489
2037/8/2,2037/8/12,0.000899631083012
2037/9/1,2037/9/11,0.005448377728462
2037/9/30,2037/10/10,0.002330406010151
2037/10/30,2037/11/8,0.002481865286827
2037/11/28,2037/12/8,0.001973039060831
2037/12/28,2038/1/6,0.000819013044238
2038/1/26,2038/2/5,0.000487432517111
2038/2/24,2038/3/7,0.002579225599766
2038/3/26,2038/4/5,0.003581763803959
2038/4/24,2038/5/5,0.001668061167002
2038/5/24,2038/6/4,0.000822130069137
2038/6/22,2038/7/3,0.001389534622431
2038/7/22,2038/8/2,0.001109367311001
2038/8/21,2038/8/31,0.001840786635876
2038/9/19,2038/9/30,0.005579392910004
2038/10/19,2038/10/29,0.001599977314472
2038/11/18,2038/11/27,0.001847023367882
2038/12/17,2038/12/27,0.001232161894441
2039/1/16,2039/1/25,0.001322268396616
2039/2/14,2039/2/24,0.002029456049204
2039/3/16,2039/3/25,0.004242028295994
2039/4/14,2039/4/24,0.001450073719025
2039/5/13,2039/5/24,0.000440303571522
2039/6/12,2039/6/23,0.002481927275658
2039/7/11,2039/7/22,0.000817810744047
2039/8/10,2039/8/21,0.003398895263672
2039/9/8,2039/9/19,0.002011404335499
2039/10/8,2039/10/19,0.004358950555325
2039/11/7,2039/11/17,0.000261085275561
2039/12/7,2039/12/16,0.002365204691887
2040/1/5,2040/1/15,0.001580539047718
2040/2/4,2040/2/13,0.002881410717964
2040/3/4,2040/3/14,0.002359810620546
2040/4/3,2040/4/12,0.002315184921026
2040/5/2,2040/5/12,0.000161317866296
2040/5/31,2040/6/11,0.00235017940402
2040/6/30,2040/7/10,0.001214386224747
2040/7/29,2040/8/9,0.002284931391478
2040/8/27,2040/9/7,0.003422092199326
2040/9/26,2040/10/7,0.000898400098085
2040/10/26,2040/11/6,0.003399461209774
2040/11/25,2040/12/5,0.000205172523856
2040/12/24,2041/1/3,0.004430478513241
2041/1/23,2041/2/2,0.002025474905968
2041/2/22,2041/3/3,0.003691185414791
2041/3/24,2041/4/2,0.001167690977454
2041/4/22,2041/5/1,0.000921342372894
2041/5/21,2041/5/31,0.001209550276399
2041/6/19,2041/6/29,0.001912463605404
2041/7/19,2041/7/29,0.002223074734211
2041/8/17,2041/8/27,0.003574811220169
2041/9/15,2041/9/26,0.000781472846866
2041/10/15,2041/10/26,0.000509678795934
2041/11/13,2041/11/24,0.002403574287891
2041/12/13,2041/12/24,0.001394151300192
2042/1/12,2042/1/23,0.005235810279846
2042/2/11,2042/2/21,0.001386832147837
2042/3/13,2042/3/22,0.003845474123955
2042/4/11,2042/4/21,0.000346054397523
2042/5/11,2042/5/20,0.001350245028734
2042/6/9,2042/6/19,0.003627299964428
2042/7/8,2042/7/18,0.001923438310623
2042/8/7,2042/8/17,0.003732717037201
2042/9/5,2042/9/15,0.000583566017449
2042/10/4,2042/10/15,0.00036250025034
2042/11/3,2042/11/14,0.002790806591511
2042/12/2,2042/12/13,0.002328193485737
2043/1/1,2043/1/12,0.001893806159496
2043/1/31,2043/2/11,0.003481135964394
2043/3/2,2043/3/12,0.000366957895458
2043/4/1,2043/4/11,0.003442887067795
2043/4/30,2043/5/10,0.000998258888721
2043/5/30,2043/6/8,0.002593968510628
